level,llm,source,target,accuracy,f1_macro,trainable_params,use_reprogramming,two_stage,use_recon_aux
L2b-TwoStage,Llama-1B,uci,uci,0.9111111111111112,0.8741231738967623,4397072,False,True,True
L2b-TwoStage,Llama-1B,uci,shoaib,0.7419578000691802,0.6996911036663112,4397072,False,True,True
L2b-TwoStage,Llama-1B,uci,motionsense,0.8050626628613972,0.643371058413686,4397072,False,True,True
L2b-TwoStage,Llama-1B,uci,hhar,0.7691421726711508,0.7077323404650313,4397072,False,True,True
L2b-TwoStage,Llama-1B,shoaib,uci,0.7593532022828154,0.6510617124857698,4397072,False,True,True
L2b-TwoStage,Llama-1B,shoaib,shoaib,0.8927335640138409,0.8691104092463865,4397072,False,True,True
L2b-TwoStage,Llama-1B,shoaib,motionsense,0.8543243578607768,0.7782247481707087,4397072,False,True,True
L2b-TwoStage,Llama-1B,shoaib,hhar,0.6114899106237907,0.5070156508670719,4397072,False,True,True
L2b-TwoStage,Llama-1B,motionsense,uci,0.8313253012048193,0.7613463532415804,4397072,False,True,True
L2b-TwoStage,Llama-1B,motionsense,shoaib,0.9235558630231754,0.9077608959327929,4397072,False,True,True
L2b-TwoStage,Llama-1B,motionsense,motionsense,0.9528243327126008,0.9132933395572438,4397072,False,True,True
L2b-TwoStage,Llama-1B,motionsense,hhar,0.7132590067262508,0.6310456104829651,4397072,False,True,True
L2b-TwoStage,Llama-1B,hhar,uci,0.8912492073557388,0.8390391215975411,4397072,False,True,True
L2b-TwoStage,Llama-1B,hhar,shoaib,0.6298858526461432,0.5285346443611303,4397072,False,True,True
L2b-TwoStage,Llama-1B,hhar,motionsense,0.7432683955825785,0.6299165111766188,4397072,False,True,True
L2b-TwoStage,Llama-1B,hhar,hhar,0.9103893112186132,0.8827629359471221,4397072,False,True,True
L2b-TwoStage,Qwen-1.5B,uci,uci,0.9523809523809524,0.9318552335640616,2523664,False,True,True
L2b-TwoStage,Qwen-1.5B,uci,shoaib,0.7990314769975787,0.7567455374291222,2523664,False,True,True
L2b-TwoStage,Qwen-1.5B,uci,motionsense,0.8532075939942921,0.7443279066054932,2523664,False,True,True
L2b-TwoStage,Qwen-1.5B,uci,hhar,0.7922233483829356,0.7452524192770599,2523664,False,True,True
L2b-TwoStage,Qwen-1.5B,shoaib,uci,0.7844007609384908,0.6945634475784623,2523664,False,True,True
